Altitude,Latitude,Longitude,Velocity,Date,Cordinates
259.5263946,-43.35489937,-110.7366267,17137.44534,9/8/2017 4:00,"[[-43.354899368067,-110.73662673565]]"
252.9615096,-4.392004272,-140.4257545,17150.47164,9/8/2017 8:52,"[[-4.3920042718216,-140.42575448265]]"
254.7954072,36.89116859,-174.9684225,17153.40831,9/8/2017 13:44,"[[36.891168593529,-174.96842253369]]"
256.1433543,49.39944172,-172.0337342,17154.26892,9/8/2017 18:36,"[[49.3994417228,-172.03373420164]]"
251.3503843,15.40197546,167.885947,17158.88959,9/8/2017 23:28,"[[15.401975460537,167.88594695991]]"
254.9322454,-27.32074673,130.1849505,17148.37913,9/9/2017 4:20,"[[-27.320746727235,130.18495051937]]"
260.8824694,-51.79099827,123.3754737,17136.11978,9/9/2017 9:12,"[[-51.790998267268,123.37547365581]]"
255.6889851,-26.0819981,115.1188284,17144.76305,9/9/2017 14:04,"[[-26.081998096145,115.11882836329]]"
252.6134815,16.68411904,77.20658896,17154.00967,9/9/2017 18:56,"[[16.684119035288,77.206588957108]]"
256.6220327,49.89095882,58.45642706,17152.45444,9/9/2017 23:48,"[[49.890958823086,58.456427063677]]"
253.8599376,35.80461595,60.55558682,17156.5396,9/10/2017 4:40,"[[35.804615947455,60.555586820773]]"
251.8730176,-5.790543666,25.51540579,17154.86368,9/10/2017 9:32,"[[-5.7905436658677,25.515405790027]]"
259.0282759,-44.29726026,-3.111535037,17139.77562,9/10/2017 14:24,"[[-44.297260262546,-3.1115350373683]]"
259.2901844,-44.0613387,2.914988479,17138.58757,9/10/2017 19:16,"[[-44.061338696916,2.9149884791687]]"
252.5251176,-5.433265653,-25.98740224,17152.16775,9/11/2017 0:08,"[[-5.4332656533226,-25.987402236849]]"
254.3641649,36.07776027,-60.92115109,17154.57951,9/11/2017 5:00,"[[36.077760271453,-60.921151090877]]"
256.2844104,49.76876302,-58.58265679,17153.70267,9/11/2017 9:52,"[[49.768763018224,-58.582656788369]]"
251.7330385,16.33054946,-77.66023951,17157.40815,9/11/2017 14:44,"[[16.330549464928,-77.660239511079]]"
255.0465837,-26.44522127,-115.498116,17147.4156,9/11/2017 19:36,"[[-26.445221268865,-115.49811598536]]"
260.8696951,-51.79798213,-123.2827803,17136.04545,9/12/2017 0:28,"[[-51.797982127319,-123.28278034419]]"
255.5158942,-26.93089415,-130.5235761,17145.70164,9/12/2017 5:20,"[[-26.930894150655,-130.52357607646]]"
252.118712,15.8079102,-168.2987895,17155.67802,9/12/2017 10:12,"[[15.807910195297,-168.29878954128]]"
256.354097,49.5686414,172.0744254,17153.28594,9/12/2017 15:04,"[[49.568641395231,172.07442542517]]"
254.1178844,36.51040423,174.7791732,17155.74824,9/12/2017 19:56,"[[36.510404225107,174.7791732415]]"
252.0044791,-4.916035112,140.0758253,17154.16089,9/13/2017 0:48,"[[-4.9160351119058,140.07582529485]]"
258.9714437,-43.73269933,110.8228358,17139.63758,9/13/2017 5:40,"[[-43.732699325134,110.82283579764]]"
